EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	08:32:17	0	0.1000	0.6289121547846922	0.6304961442947388		0.6787
2	08:35:12	1	0.1000	0.5433077874536417	0.8168269395828247		0.6446
3	08:38:08	0	0.1000	0.5124385456497572	0.6512762308120728		0.7397
4	08:41:02	1	0.1000	0.49736277105248705	0.8226762413978577		0.7397
5	08:43:57	0	0.1000	0.4700534754831876	0.5251373052597046		0.7928
6	08:46:55	0	0.1000	0.4462473460245041	0.516872763633728		0.8118
7	08:49:50	0	0.1000	0.377898154628216	0.5951085090637207		0.8138
8	08:52:44	1	0.1000	0.3115652303534503	0.7279521822929382		0.7768
9	08:55:37	0	0.1000	0.2576480199563868	0.45591118931770325		0.8278
10	08:58:32	1	0.1000	0.24850392219971637	0.5320945382118225		0.7828
11	09:01:26	2	0.1000	0.2213269281866295	0.5567432641983032		0.8188
12	09:04:18	3	0.1000	0.20640626919398808	0.5308669209480286		0.8198
13	09:07:10	0	0.1000	0.18665168310838695	0.42272767424583435		0.8509
14	09:10:02	1	0.1000	0.1666890164060347	0.5014860033988953		0.8438
15	09:12:56	2	0.1000	0.16603152373121405	0.47942957282066345		0.8478
16	09:15:49	3	0.1000	0.14543293344275077	0.5077077150344849		0.8378
17	09:18:40	4	0.1000	0.14302275432552905	0.7020229697227478		0.8118
18	09:21:31	1	0.0500	0.10077073175830728	0.5493811964988708		0.8398
19	09:24:23	2	0.0500	0.09445966801805687	0.4488963186740875		0.8498
20	09:27:14	3	0.0500	0.0869939938672861	0.5949434041976929		0.8428
